method,project,MAP,MRR,TOP-K,average similarity
20_Topics,Cli,0.11287678182786051,0.3729799472255944,0.15000133781083932,0.6292019230769232
40_Topics,Cli,0.10125044920916969,0.3407734009858417,0.21743872599061057,0.42024358974358955
60_Topics,Cli,0.11020932934774952,0.31701471526839164,0.1718977360665043,0.3645507478632479
80_Topics,Cli,0.09614148240625184,0.28056295324044445,0.21381725826508133,0.3808899572649573
100_Topics,Cli,0.10937078659389213,0.348332426557338,0.2243150772705582,0.3930176282051283
120_Topics,Cli,0.13807791017578308,0.47080293906832854,0.18127469805776658,0.39684348290598287
140_Topics,Cli,0.1492474843990767,0.47435891227228705,0.23283827507023616,0.29011805555555553
160_Topics,Cli,0.13660565330060986,0.4353993559084228,0.21219638592835777,0.3753675213675211
180_Topics,Cli,0.10910691979830979,0.3551287356434415,0.21242306714544062,0.3080934829059829
200_Topics,Cli,0.12325378947019311,0.3753047192334227,0.23413142021882355,0.39276602564102564
220_Topics,Cli,0.16659277343575848,0.5343904216683132,0.20287094152050783,0.3684054487179488
240_Topics,Cli,0.1385658979328514,0.4582061304923148,0.19020770125069394,0.3538365384615384
260_Topics,Cli,0.14360521074523008,0.45366371894389135,0.21801674271148913,0.35933279914529925
280_Topics,Cli,0.11926216056060132,0.37733786486702925,0.25983157411923147,0.2742024572649573
300_Topics,Cli,0.11784372042486184,0.3843502650496276,0.2563211386828804,0.300392094017094
320_Topics,Cli,0.11643313867568741,0.34912748097712437,0.23628150160694633,0.29144871794871785
340_Topics,Cli,0.10791201699352904,0.35517279230607807,0.25932606257842905,0.22284508547008547
360_Topics,Cli,0.14665694088032907,0.46380590652013587,0.22060321969427615,0.2956041666666666
380_Topics,Cli,0.13278550959699756,0.4103889767947637,0.23732618786604437,0.2717980769230769
400_Topics,Cli,0.11343778442484541,0.37108046346681295,0.21512368740863985,0.2799754273504274
420_Topics,Cli,0.13662671231440368,0.41734734000288287,0.200921318414588,0.2895592948717949
440_Topics,Cli,0.1472206823870788,0.4449862851431509,0.23904053408355327,0.2974535256410257
460_Topics,Cli,0.13398939037932636,0.4236807909198102,0.2165556373565631,0.31177564102564104
480_Topics,Cli,0.10052551216672381,0.32913372557766263,0.231664914276094,0.2507644230769231
500_Topics,Cli,0.10196662134223826,0.3309829290384783,0.2937507702518451,0.2327184829059829
520_Topics,Cli,0.13110765775844768,0.41847973582872966,0.250828713462954,0.31479861111111107
540_Topics,Cli,0.10932819081623964,0.3454521114569405,0.23469473671625798,0.20949465811965812
560_Topics,Cli,0.15261868265394088,0.49048945420882795,0.18305071443848248,0.25848985042735034
580_Topics,Cli,0.12650901945203077,0.4034101060195034,0.23355267208408123,0.25672489316239316
600_Topics,Cli,0.15577279088327675,0.5095400386621863,0.23180365885608373,0.29951335470085466
